Name,Population,Latitude,Longitude
Abra,250985.00,17.5951,120.7983
Apayao,124366.00,18.012,121.171
Benguet,460683.00,16.5577,120.8039
Baguio,366358.00,16.4023,120.596
Ifugao,207498.00,16.8331,121.171
Kalinga,229570.00,17.474,121.3542
Mountain Province,158200.00,17.0663,121.0335
