Name,Population,Latitude,Longitude
Basilan,426207.00,6.4296,121.987
Lanao del Sur,1195518.00,7.8232,124.4198
Maguindanao,1342179.00,6.9423,124.4198
Sulu,1000108.00,5.9749,121.0335
Tawi-Tawi,440276.00,5.1338,119.9509
