Name,Population,Latitude,Longitude
Olongapo,260317.00,14.8386,120.2842
Marinduque,239207.00,13.4767,121.9032
Occidental Mindoro,525354.00,13.1024,120.7651
Oriental Mindoro,908339.00,13.0565,121.4069
Palawan,939594.00,9.8349,118.7384
Puerto Princesa,307079.00,9.7638,118.7473
Romblon,308985.00,12.5779,122.2691
