Name,Population,Latitude,Longitude
Zamboanga del Norte,1047455.00,8.3886,123.1689
Zamboanga del Sur,1050668.00,7.8383,123.2967
Zamboanga City,977234.00,6.9214,122.079
Zamboanga Sibugay,669840.00,7.5225,122.3108
"Isabela, Basilan",130379.00,6.7029,121.969
